,MMSI,VesselType,Length,Width,BaseDateTime_Start,LAT_SPOKEStartPort,LON_SPOKEStartPort,StartHUBPORT_PortID,StartHUBPORT_LON,StartHUBPORT_LAT,BaseDateTime_TripEnd,LAT_SPOKEEndPort,LON_SPOKEEndPort,ENDHUBPORT_PortID,ENDHUBPORT_LON,ENDHUBPORT_LAT
48489,377901024,1004.0,106.68,20.6,2017-12-29T10:56:43,18.39787,-64.59661,2.0,-64.5972975,18.4017525,2017-12-30T22:37:11,17.69637,-64.7549,3,-64.75487625,17.696372500000003
9486,377911000,1004.0,100.69,21.75,2017-12-01T22:51:32,17.69577,-64.75461,3.0,-64.75487625,17.696372500000003,2017-12-19T18:05:35,18.335079999999998,-64.94773,1,-64.94997666666666,18.334145555555555
15492,377911000,1004.0,100.69,21.75,2017-12-19T18:05:35,18.335079999999998,-64.94773,1.0,-64.94997666666666,18.334145555555555,2017-12-22T23:34:19,17.69698,-64.75522,3,-64.75487625,17.696372500000003
20045,377911000,1004.0,100.69,21.75,2017-12-22T23:34:19,17.69698,-64.75522,3.0,-64.75487625,17.696372500000003,2017-12-23T17:42:01,18.33534,-64.94941,1,-64.94997666666666,18.334145555555555
21675,377911000,1004.0,100.69,21.75,2017-12-23T17:42:01,18.33534,-64.94941,1.0,-64.94997666666666,18.334145555555555,2017-12-23T20:32:15,18.31341,-64.93812,6,-64.93986,18.309922500000003
28147,377911000,1004.0,100.69,21.75,2017-12-23T20:32:15,18.31341,-64.93812,6.0,-64.93986,18.309922500000003,2017-12-25T03:10:55,18.33536,-64.94927,1,-64.94997666666666,18.334145555555555
35991,377911000,1004.0,100.69,21.75,2017-12-25T03:10:55,18.33536,-64.94927,1.0,-64.94997666666666,18.334145555555555,2017-12-26T19:37:46,18.40981,-64.59768000000001,-1,-64.26840620689656,18.234004137931034
49954,538003870,1024.0,99.93,19.6,2017-12-06T11:45:20,18.388170000000002,-64.65025,10.0,-64.649486,18.387494000000004,2017-12-29T23:32:15,18.388,-64.65033000000001,10,-64.649486,18.387494000000004
49966,538003870,1024.0,99.93,19.6,2017-12-29T23:32:15,18.388,-64.65033000000001,10.0,-64.649486,18.387494000000004,2017-12-30T10:02:39,18.37755,-64.63505,-1,-64.26840620689656,18.234004137931034
864,564923000,1024.0,95.0,15.96,2017-12-01T00:02:03,18.31813,-64.97967,8.0,-64.978538,18.318328,2017-12-02T00:00:24,18.24302,-64.97816,-1,-64.26840620689656,18.234004137931034
8162,564923000,1024.0,95.0,15.96,2017-12-02T00:00:24,18.24302,-64.97816,-1.0,-64.26840620689656,18.234004137931034,2017-12-12T07:48:40,18.31699,-64.97870999999999,8,-64.978538,18.318328
11057,565135000,1024.0,228.6,32.23,2017-12-11T22:38:27,18.082279999999997,-65.61189,12.0,-65.611655,18.082295,2017-12-20T23:57:32,17.69376,-64.74566,-1,-64.26840620689656,18.234004137931034
45388,577365000,1004.0,54.87,12.2,2017-12-05T22:59:40,18.31004,-64.66941,-1.0,-64.26840620689656,18.234004137931034,2017-12-24T04:28:26,18.42069,-64.60656,11,-64.60467,18.416185
9165,577368000,1004.0,90.05,17.1,2017-12-01T19:36:05,18.334570000000003,-64.94958000000001,1.0,-64.94997666666666,18.334145555555555,2017-12-18T00:37:01,18.31851,-64.97453,8,-64.978538,18.318328
24748,577368000,1004.0,90.05,17.1,2017-12-18T00:37:01,18.31851,-64.97453,8.0,-64.978538,18.318328,2017-12-24T13:44:00,18.33439,-64.94969,1,-64.94997666666666,18.334145555555555
33403,577368000,1004.0,90.05,17.1,2017-12-24T13:44:00,18.33439,-64.94969,1.0,-64.94997666666666,18.334145555555555,2017-12-25T14:35:22,18.41631,-64.60491,11,-64.60467,18.416185
35579,577368000,1004.0,90.05,17.1,2017-12-25T14:35:22,18.41631,-64.60491,11.0,-64.60467,18.416185,2017-12-26T20:52:12,18.33461,-64.94954,1,-64.94997666666666,18.334145555555555
37901,577368000,1004.0,90.05,17.1,2017-12-26T20:52:12,18.33461,-64.94954,1.0,-64.94997666666666,18.334145555555555,2017-12-28T03:15:07,18.403170000000003,-64.59753,2,-64.5972975,18.4017525
49910,577368000,1004.0,90.05,17.1,2017-12-28T03:15:07,18.403170000000003,-64.59753,2.0,-64.5972975,18.4017525,2017-12-31T04:51:47,18.02754,-64.12725,-1,-64.26840620689656,18.234004137931034
15974,636092495,1024.0,116.9,18.0,2017-12-21T22:27:21,18.08231,-65.61142,12.0,-65.611655,18.082295,2017-12-22T23:31:51,18.05256,-65.83691999999999,5,-65.83694,18.052565
