Port_ID,LON,LAT
-1,-71.36461666666668,30.607541111111118
0,-75.04380625,44.94096875
1,-74.77094166666667,44.990973333333336
2,-73.94575999999999,45.30441199999999
3,-73.51240577380955,45.573046249999976
4,-74.2396625,45.228965833333326
5,-63.07769928571428,18.04723785714286
6,-76.55775826291078,39.24136093896714
7,-76.09901941176466,37.21279823529411
8,-76.33474948640487,36.88892601208456
9,-66.09981494252874,18.448514712643686
10,-64.94566855421685,18.326447349397583
11,-75.62403545454545,36.812985
12,-75.23573031746032,39.87314018518519
13,-74.83166166666668,40.10722666666667
14,-74.08301905329613,40.65458052945268
15,-73.6399279661017,40.49122796610169
16,-76.10767,44.239734999999996
17,-76.41025545454545,44.05531909090909
18,-77.95588,34.193974285714276
19,-70.78892555555555,42.41635166666667
20,-71.01497748031501,42.357689999999984
21,-76.39516717391304,38.953913695652176
22,-68.89929125,44.4478825
23,-70.01771538461539,18.421403076923077
24,-71.319055,41.340781666666665
25,-71.38746599999999,41.79744300000001
26,-69.62965631578948,18.42356894736842
27,-64.58759175438595,18.412395438596498
28,-64.74915578947369,17.700788421052632
29,-62.858824999999996,17.90286
30,-70.26183733333333,43.64485933333333
31,-74.61450083333334,38.53998138888889
32,-75.5654454237288,39.57079118644068
33,-70.91385000000001,41.628186666666664
34,-65.83645461538461,18.053426153846154
35,-69.88267166666667,18.468058333333335
36,-73.1241275,46.0460975
37,-66.61778,17.972313333333332
38,-73.94946421052633,41.79955210526315
39,-73.7609298630137,42.599010821917815
40,-75.5307585,44.68682500000001
41,-68.93386727272728,18.40036909090909
42,-69.30928333333334,19.184106666666665
43,-66.76704222222222,17.99396111111111
44,-75.31162499999999,44.832215000000005
45,-75.16079729729731,38.92834729729729
46,-66.102586,45.160833999999994
47,-77.34160244897959,25.08249326530613
48,-76.9076,43.99736333333334
49,-76.68885785714284,34.72140857142857
50,-67.00071,44.89368
51,-69.29693,18.429823076923075
52,-77.538305,26.078706666666665
53,-71.34095210526316,41.5577947368421
54,-77.92108692307694,25.833660000000002
55,-77.53404846153846,24.99748153846154
56,-72.90364415094339,41.266297358490576
57,-77.61031249999999,43.241845
58,-77.11579625,44.05191250000001
59,-76.51535000000001,43.46433
60,-76.80136666666667,44.163576666666664
61,-77.99849499999999,43.707245
62,-73.28367,45.83267
63,-76.25574200000001,44.196406
64,-77.87885666666666,43.96005
65,-70.76672083333332,43.089195
66,-77.996125,43.56748
67,-71.95434875,41.061273750000005
68,-74.59084,45.039885
69,-77.90071,25.40394
70,-74.769085,38.825025
71,-74.01237555555556,40.45094666666667
72,-66.22609833333333,17.94751666666667
73,-76.17165222222222,36.92120222222223
74,-70.71349,41.527792
75,-76.0065265,39.438331999999996
76,-77.26592625,37.311732500000005
77,-74.9586036363636,38.96783522727273
78,-73.17797285714286,41.15231142857142
79,-75.824168,39.532669999999996
80,-76.4351875,38.2843175
81,-73.99510666666669,41.50736666666667
82,-73.96176375,41.263645000000004
83,-76.98094799999998,38.350528
84,-74.42375181818183,39.37976181818182
85,-72.08237923076922,41.35879384615385
86,-73.935805,42.068311666666666
87,-73.93893,41.688460000000006
88,-77.0211053846154,38.867598205128196
89,-70.63259375,41.72981125
90,-72.47026600000001,41.27209599999999
91,-73.39996249999999,41.08358125
92,-73.982955,41.918175000000005
93,-76.456538,37.236731
94,-70.63435799999999,42.41010200000001
95,-76.53059416666666,38.12228666666667
96,-76.38961,37.622
97,-69.10102888888888,44.101305555555555
98,-75.613135,38.361625000000004
99,-71.24446,41.697185
100,-75.682805,36.628035
101,-70.094036,41.309792
102,-77.165515,38.606985
103,-76.60898799999998,37.166296
104,-70.59528,43.17753999999999
105,-69.7601125,43.7461975
106,-69.81215499999999,43.930925
107,-63.1104,17.603215
108,-75.504685,37.076265
109,-65.611635,18.082275
